author,text,like_count,published_at
@Sharing_allofthings,"ya gimana ya, kalo misal kita kerja terus sesuai gaji nya dengan apa yang kita kerjakan dan usahakan mati Matian sih gapapa, lah ini udah gaji lembur dikit kadang gaji nya di betak sama atasan wajar si banyak yang nolak sistem ini, gua juga setuju pengalaman kerja sama bumc selama 2 tahun bener² menguras kehidupan",0,2026-03-30T12:17:35Z
@puguh_susilo,"Disini lebih parah 997
Kerja jam 9 pagi, pulang jam9 malam

Selama 7hari fulll (kerja kasar perhari upah 50 ribu belum termasuk uang makan dan bensin)",0,2026-03-30T11:49:25Z
@Asapyonion,Di jombang tuh banyak kerjaan 12 jam selama 6 hari kerja,0,2026-03-30T11:41:29Z
@Manutaja,Titip 995,0,2026-03-30T10:15:59Z
@staylove081,apa gk fatherless itu anak2 chinness,0,2026-03-30T09:49:03Z
@DarkBlqze77777,"Jack Ma n para2 konglo lain nya sih setuju, karna emang dia yg sukses, karyawan nya yg gk sukses.. mereka gk mau Modern Slavery Technique mereka dihilangkan 
Mereka cuma mau terima duit/ cuan nya doang, tapi pengeluaran dll nya gk mau, kalo bisa gk perlu bayar karyawan makin suka lagi mereka.. 
And itu byk terjadi ama Black Company di Japan..",2,2026-03-30T09:48:53Z
@AriRamdhani-o4s,ko mirip kaya di negara apa yaah ?,0,2026-03-30T09:48:39Z
@suciiigaming3977,"Abang ojol yang berangkat jam 6 pagi ,pulang jam 9 malam bilek 🗿",0,2026-03-30T09:23:58Z
@Kuching-n3i,"Aku kerja di malaysia boss china,kadang jam 2 mlm baru pulang berangkat jam 6 pagj,",0,2026-03-30T09:10:40Z
@ViridianVivaldi,BUMC dimana2 sama aja 😂😂😂,0,2026-03-30T09:01:53Z
@maximiliansec,"Makanya gw salah satu orang yang percaya kalo China itu berkembang cepat tapi turun cepat juga kemudian. Sistem kerja yang berlebihan memang bagus untuk perkembangan negara tapi buruk ke SDM nya. bisa dibilang, dalam jangka panjang orang gak bakal mau lagi terus terus begitu dan pada cabut. bukannya sekarang juga banyak ya pengangguran di China yang punya S1 bahkan S2, bahkan ada katanya yang emang milih gak kerja sama sekali karena emang gamau.",2,2026-03-30T08:19:16Z
@AngelyoshaAl-fauzany682,"Reaksi mrk yg dmnfaatkn, dtpu dn djbk oleh kucing bangsawan=orng smn2 dn kucing kmpung=mmnfaatkn  orng lain dm keuntngn pribd alias si pngkhnt.

https://youtube.com/shorts/blG3Q-ABZeI?si=1xp4RF4OHv04FPBX",0,2026-03-30T08:13:55Z
@myclipperromance666,sama kaya kerja bank di indo,0,2026-03-30T08:00:06Z
